"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-02112023-018754";"";
"REFERENCE";"LT-PG3-240A";"";
"TraceParts.PartTitle";"Three fingers centering mechanical gripper LT-PG3-240A";"";
"TraceParts.InstanceId";"90-02112023-01875478P2ST6ENTHNY6M228NL8S6AD";"";
"SUPPLIER";"Zhengzhou Linghang Robot";"";
"DESIGN";"Three fingers centering mechanical gripper LT-PG3-240A";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.0";"";
